KL10,KL12,KL14,KL16,KL18,KL20
0.7250768464886195,0.6928113488799883,0.6826949436710199,0.6980918249299961,0.7334250730067376,0.7681768972918164
0.31618255212703344,0.27736326428558256,0.25550686867695926,0.24387087066052715,0.23612980058132582,0.23302045703724872
0.2253638654012645,0.19791303544210292,0.17313922475461646,0.16991343557318903,0.1742028478305876,0.19280231452491411
0.17570481268233504,0.15567521256243214,0.13390330548530902,0.13002086114386716,0.13068638349172146,0.13794457208865335
0.1585659539837165,0.13928430009508064,0.1196538976084198,0.11355372619245625,0.1117687579913761,0.11647244855576182
0.12712998550782068,0.11593590502760336,0.10539425081410903,0.10216466384854213,0.100775278630096,0.1031758173686369
0.12549465762392,0.11596446975389696,0.11261028742026331,0.1140229416873401,0.11170931289858643,0.1109802841247814
0.10899564024819934,0.09892168395379879,0.09005864118208193,0.08666744001406793,0.08393325568810021,0.08467090164691671
0.09096804304349566,0.08514139244136315,0.08050451918676886,0.07857235865778923,0.07812319415250474,0.07968761013024596
0.08449167453610167,0.08038204908838034,0.07484905880434166,0.07205229351769675,0.07191613953536134,0.07329236313020984
0.07816837704258658,0.07613664731964538,0.07410654956903606,0.07334906565374834,0.07514538762970079,0.07808632110306889
0.07049543389306069,0.0685190317319135,0.06445429568634375,0.06295591348620418,0.06356905341462059,0.07077600364960454
0.06922557896981485,0.05948967714679601,0.053490186627452245,0.050393451327185056,0.05012380289969434,0.053495759285017166
0.07401712439397076,0.07143838423162849,0.07045598010652714,0.07115893477870833,0.07295415068725503,0.0744586155965116
0.06005990543781996,0.054441104163999436,0.05056122158043723,0.049390141852100354,0.05138561349053956,0.05699085354635762
0.05107009942730677,0.045739033377892015,0.04212567291570803,0.04062062268270019,0.04104785069846398,0.0434558836585552
0.04813064499141605,0.044070128644637684,0.04108062632487005,0.040229551944130776,0.041851989767055925,0.044094359711428284
0.04133218775607976,0.03851118328081647,0.03602979124035928,0.03530617158610094,0.035958552049399656,0.03872458717638163
0.03847545496302634,0.03311814961323566,0.029267097264175566,0.027572045090367554,0.028620472849751492,0.030928580779058003
0.034795453738594176,0.029920969221874965,0.027135669391386168,0.0261695026017512,0.02815615646588168,0.031199296389263942
0.03159384955819007,0.02669585502510392,0.024095666413897203,0.023311685456183135,0.024453629090783288,0.027139058580600377
0.033263211391306065,0.028935965524639107,0.02686147856143199,0.026050226139056713,0.027241303769626746,0.02971797157441091
0.024406827674492187,0.024228604048168286,0.022533248336223544,0.023892912000339515,0.0255631364085512,0.0292715673724032
0.024161256953001566,0.02030293796012447,0.018608685952706785,0.01864057877377751,0.020799347420587627,0.024587321960514556
0.041953176805255704,0.0354126246629321,0.03046535029568777,0.025554607466794017,0.024404332393909198,0.02405360537937088
0.020682847331892844,0.021083791142345987,0.020258726606944704,0.021810713680914678,0.024046912526728678,0.02807701637850422
0.01779005521908632,0.016061506625670543,0.014626441764740436,0.01584457945212149,0.017080054762745205,0.01914475197855136
0.018644534001278988,0.015846736899973273,0.01467255356655356,0.015764536840123987,0.017381067767969348,0.01989308312405042
0.017852254250770354,0.017437508238836986,0.01788998629401715,0.020255092594226642,0.02319205149015797,0.0271521389934192
0.01608778670432772,0.014042577584177734,0.013927765680330105,0.015465336887886805,0.017737941434362404,0.020764787824437213
0.015385641431029365,0.01209654598208748,0.010568472232607146,0.009814148743643636,0.010288695817837003,0.011961289893549793
0.012744073965199781,0.010036243835362463,0.008827116923488901,0.008802437559658793,0.009290645623583432,0.01084890742655888
0.011344070333670315,0.010117273190713537,0.009871260902087958,0.01106632253017088,0.012189014612852784,0.014101716518043355
0.013127894083557195,0.010507959261692167,0.009284063369908288,0.008623172937840097,0.00869391966974489,0.009772908926711978
0.01045426576759895,0.008599318563664518,0.007638657778118363,0.007410697208657366,0.007894078915732522,0.010028418032992504
0.012565035036692476,0.012752555303352868,0.013472189212773735,0.01526079490396217,0.01713147336261301,0.01946392569135661
0.014595328339783447,0.012315370048068368,0.011744977159703381,0.011326586349865782,0.011549172155872567,0.013123115357419574
0.009984249735946004,0.009791421901690701,0.010171824666493554,0.011984497017770324,0.015068803879197743,0.019497311624507734
0.009993060558321254,0.007535518031512965,0.006518057681558712,0.006579288050172218,0.007264031437876338,0.009271899671263233
0.008187375897321218,0.006283049147974868,0.005255623346106872,0.005291853907128406,0.005301729652002996,0.006064426054455517
0.009950796099385074,0.008086589872364559,0.0074961001863713015,0.006905291055330728,0.006542717914927757,0.006888966769672383
0.009301108791384374,0.007903567146694454,0.0076002058821541705,0.0073427202351819916,0.007872774264970163,0.010063317067544352
0.006556530770606213,0.005406446670678675,0.004941326541800606,0.004868392183373467,0.005026252842136283,0.00562897479239268
0.007417408707622225,0.0062477288342108655,0.005693079288237119,0.005702875136849002,0.006124223608731053,0.007943157390483471
0.009324940355904213,0.008067758566339216,0.0077195172528753955,0.007331513866915088,0.007087066341063123,0.007599832293320947
0.01063213123676483,0.008745641107903128,0.007917882116312102,0.007261908043849514,0.006783569066350103,0.008213000092541231
0.008401963820518613,0.006679495430828342,0.006012793058149466,0.0054347217508913335,0.005023670152543607,0.0052352222189338575
0.005880151411915811,0.004958167055725575,0.004636554704449904,0.004747736698882688,0.004858781091483536,0.0056605578185150145
0.008371024174041135,0.007259357943086666,0.007091578219141525,0.0067999640204095815,0.006670846225436764,0.006934150807031786
0.010481513526995816,0.009124369338726413,0.008688631649834608,0.007800800176197077,0.007313985512575638,0.007179168863425014
